('Total Revenue', '395,760,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         723125 function calls (698444 primitive calls) in 1.674 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       58    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
       58    0.000    0.000    0.002    0.000 typing.py:753(Union)
       56    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       55    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
       55    0.000    0.000    0.000    0.000 enum.py:353(__setitem__)
       54    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       54    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       53    0.000    0.000    0.000    0.000 typing.py:3790(__getattr__)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1930(__init__)
    52/14    0.000    0.000    0.008    0.001 css_parser.py:911(parse_selectors)
       51    0.000    0.000    0.000    0.000 element.py:2272(__eq__)
       50    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
       49    0.000    0.000    0.798    0.016 {method 'readline' of '_io.BufferedReader' objects}
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       47    0.000    0.000    0.000    0.000 ipaddress.py:1765(_parse_hextet)
       45    0.000    0.000    0.000    0.000 <frozen _collections_abc>:439(__subclasshook__)
       45    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       44    0.000    0.000    0.000    0.000 enum.py:1435(_iter_member_by_value_)
       44    0.000    0.000    0.000    0.000 enum.py:115(_iter_bits_lsb)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       43    0.000    0.000    0.000    0.000 typing.py:1105(__hash__)
       42    0.000    0.000    0.000    0.000 enum.py:91(_is_single_bit)
       42    0.000    0.000    0.000    0.000 __init__.py:613(__missing__)
       42    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
    42/30    0.000    0.000    0.006    0.000 css_parser.py:569(parse_pseudo_class)
       41    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
